player,play_minutes,deaths,jumps,sleep_count,walk_m,sprint_m,fly_m,fall_m,swim_m,boat_m,crouch_m,walk_on_water_m,walk_under_water_m,damage_dealt_hearts,damage_taken_hearts,mob_kills_total,killed_by_count,blocks_mined_total,items_used_total,items_crafted_total,items_picked_up_total,items_dropped_total,tools_broken,time_since_rest_min,time_since_death_min,interact_furnace,interact_crafting_table,open_chest,unique_blocks_mined,unique_mobs_killed,unique_items_used,unique_items_crafted
axantroff,148.2,1,2824,7,2585.4,3117.3,6462.5,965.2,0.0,0.0,56.9,285.7,64.0,39.7,176.5,30,0,1594,1803,139,2159,119,8,60.2,59.8,26,18,51,40,7,25,17
MurzichAI,100.1,1,3476,6,1701.3,2584.2,12617.0,1383.4,0.0,0.0,26.9,192.9,126.8,99.2,146.6,39,1,847,1202,23360,1272,377,1,4.8,4.8,14,31,65,37,8,26,30
trofimova2002,96.5,1,1014,5,5226.1,4206.8,2360.8,171.8,11.0,0.0,93.4,46.2,26.8,94.1,53.8,3,1,2097,2931,1090,2566,27,10,1.3,1.2,16,22,134,35,1,32,22
